mother,father,simpleID,crossID
6024_3,8249_4,L1 x L2,L1.3 x L2.4
8249_4,6024_5,L2 x L1,L2.4 x L1.5
6024_2,1158_2,L1 x H1,L1.2 x H1.2
1158_2,6024_5,H1 x L1,H1.2 x L1.5
1158_2,6184_1,H1 x H2,H1.2 x H2.1
6184_4,1158_2,H2 x H1,H2.4 x H1.2
6184_2,8249_1,H2 x L2,H2.2 x L2.1
8249_4,6184_1,L2 x H2,L2.4 x H2.1
6184_2,6184_2,H2 s1,H2.2 s1
6184_1,6184_1,H2 s1,H2.1 s1
8249_1,8249_1,L2 s1,L2.1 s1
8249_4,8249_4,L2 s1,L2.4 s1
6024_3,6024_3,L1 s1,L1.3 s1
6024_5,6024_5,L1 s1,L1.5 s1
6024_2,6024_2,L1 s1,L1.2 s1
1158_2,1158_2,H1 s1,H1.2 s1
