cross,F2_family,F2_mother,F3_family,label_colour
6024x8249,F2.05,F2.05.017,F3.01,blue
6024x8249,F2.05,F2.05.020,F3.02,blue
6024x8249,F2.05,F2.05.026,F3.03,blue
6024x8249,F2.05,F2.05.022,F3.04,blue
6024x8249,F2.05,F2.05.015,F3.05,blue
1158x6024,F2.16,F2.16.014,F3.11,green
1158x6024,F2.16,F2.16.016,F3.12,green
1158x6024,F2.16,F2.16.022,F3.13,green
1158x6024,F2.16,F2.16.019,F3.14,green
1158x6024,F2.16,F2.16.017,F3.15,green
1158x6184,F2.03,F2.03.020,F3.16,orange
1158x6184,F2.03,F2.03.025,F3.17,orange
1158x6184,F2.03,F2.03.015,F3.18,orange
1158x6184,F2.03,F2.03.021,F3.19,orange
1158x6184,F2.03,F2.03.016,F3.20,orange
6184x1158,F2.35,F2.35.023,F3.21,orange
6184x1158,F2.35,F2.35.015,F3.22,orange
6184x1158,F2.35,F2.35.017,F3.23,orange
6184x1158,F2.35,F2.35.022,F3.24,orange
6184x1158,F2.35,F2.35.014,F3.25,orange
6184x8249,F2.27,F2.27.020,F3.26,pink
6184x8249,F2.27,F2.27.023,F3.27,pink
6184x8249,F2.27,F2.27.021,F3.28,pink
6184x8249,F2.27,F2.27.026,F3.29,pink
6184x8249,F2.27,F2.27.018,F3.30,pink
8249x6184,F2.25,F2.25.019,F3.31,pink
8249x6184,F2.25,F2.25.020,F3.32,pink
8249x6184,F2.25,F2.25.022,F3.33,pink
8249x6184,F2.25,F2.25.015,F3.34,pink
8249x6184,F2.25,F2.25.018,F3.35,pink
8249x6024,F2.32,F2.32.023,F3.36,blue
8249x6024,F2.32,F2.32.019,F3.37,blue
8249x6024,F2.32,F2.320.18,F3.38,blue
8249x6024,F2.32,F2.32.017,F3.39,blue
8249x6024,F2.32,F2.32.015,F3.40,blue
6024,S2.01,S2.01.006,S3.01,
6024,S2.01,S2.01.004,S3.02,
6024,S2.01,S2.01.002,S3.03,
6184,S2.15,S2.15.003,S3.04,
6184,S2.15,S2.15.001,S3.05,
6184,S2.15,S2.15.002,S3.06,
8249,S2.14,S2.14.003,S3.07,
8249,S2.14,S2.14.004,S3.08,
8249,S2.14,S2.14.002,S3.09,
1158,S1.12,S1.12.03,S2.36,
1158,S1.12,S1.12.04,S2.37,
1158,S1.01,S1.01.02,S2.38,
BLANK,,,,
