sample,tray,pos,mother,father,simpleID,crossID,cross label,Germinated_200226,Plate 187,
11,1,11,1158_2,6184_1,H1 x H2,H1.2 x H2.1,7,1,1A,
30,2,6,1158_2,6184_1,H1 x H2,H1.2 x H2.1,7,1,1B,
39,2,15,1158_2,6184_1,H1 x H2,H1.2 x H2.1,7,1,1C,
57,3,9,1158_2,6184_1,H1 x H2,H1.2 x H2.1,7,1,1D,
79,4,7,1158_2,6184_1,H1 x H2,H1.2 x H2.1,7,1,1E,
53,3,5,1158_2,6024_5,H1 x L1,H1.2 x L1.5,4,1,1F,
64,3,16,6184_1,6184_1,H2 s1,H2.1 s1,,1,1G,
7,1,7,6184_1,6184_1,H2 s1,H2.1 s1,,1,1H,
33,2,9,6184_1,6184_1,H2 s1,H2.1 s1,,1,2A,
51,3,3,6184_2,6184_2,H2 s1,H2.2 s1,,1,2B,
91,4,19,6184_2,6184_2,H2 s1,H2.2 s1,,1,2C,
21,1,21,6184_2,6184_2,H2 s1,H2.2 s1,,1,2D,
3,1,3,6184_2,8249_1,H2 x L2,H2.2 x L2.1,9,1,2E,
23,1,23,6184_2,8249_1,H2 x L2,H2.2 x L2.1,9,1,2F,
44,2,20,6184_2,8249_1,H2 x L2,H2.2 x L2.1,9,1,2G,
56,3,8,6184_2,8249_1,H2 x L2,H2.2 x L2.1,9,1,2H,
77,4,5,6184_2,8249_1,H2 x L2,H2.2 x L2.1,9,1,3A,
96,4,24,6184_2,8249_1,H2 x L2,H2.2 x L2.1,9,1,3B,
84,4,12,6184_4,1158_2,H2 x H1,H2.4 x H1.2,8,1,3C,
32,2,8,6024_2,6024_2,L1 s1,L1.2 s1,,0,3D,
49,3,1,6024_2,6024_2,L1 s1,L1.2 s1,,0,3E,
70,3,22,6024_2,6024_2,L1 s1,L1.2 s1,,0,3F,
13,1,13,6024_2,1158_2,L1 x H1,L1.2 x H1.2,3,0,3G,not flowered 26.6.2020
10,1,10,6024_3,8249_4,L1 x L2,L1.3 x L2.4,1,1,3H,
29,2,5,6024_3,8249_4,L1 x L2,L1.3 x L2.4,1,1,4A,tissue already red
59,3,11,6024_3,8249_4,L1 x L2,L1.3 x L2.4,1,1,4B,tissue already red
48,2,24,6024_3,8249_4,L1 x L2,L1.3 x L2.4,1,1,4C,tissue already red
65,3,17,6024_3,8249_4,L1 x L2,L1.3 x L2.4,1,0,4D,
89,4,17,6024_3,8249_4,L1 x L2,L1.3 x L2.4,1,1,4E,tissue already red
62,3,14,6024_5,6024_5,L1 s1,L1.5 s1,,0,4F,
46,2,22,8249_1,8249_1,L2 s1,L2.1 s1,,1,4G,
76,4,4,8249_1,8249_1,L2 s1,L2.1 s1,,1,4H,
88,4,16,8249_1,8249_1,L2 s1,L2.1 s1,,1,5A,
5,1,5,8249_4,8249_4,L2 s1,L2.4 s1,,1,5B,
22,1,22,8249_4,8249_4,L2 s1,L2.4 s1,,1,5C,
42,2,18,8249_4,8249_4,L2 s1,L2.4 s1,,1,5D,
15,1,15,8249_4,6184_1,L2 x H2,L2.4 x H2.1,6,1,5E,
19,1,19,8249_4,6184_1,L2 x H2,L2.4 x H2.1,6,1,5F,
38,2,14,8249_4,6184_1,L2 x H2,L2.4 x H2.1,6,1,5G,
52,3,4,8249_4,6184_1,L2 x H2,L2.4 x H2.1,6,1,5H,
73,4,1,8249_4,6184_1,L2 x H2,L2.4 x H2.1,6,1,6A,
92,4,20,8249_4,6184_1,L2 x H2,L2.4 x H2.1,6,1,6B,
28,2,4,8249_4,6024_5,L2 x L1,L2.4 x L1.5,2,1,6C,
45,2,21,8249_4,6024_5,L2 x L1,L2.4 x L1.5,2,1,6D,
63,3,15,8249_4,6024_5,L2 x L1,L2.4 x L1.5,2,1,6E,
66,3,18,8249_4,6024_5,L2 x L1,L2.4 x L1.5,2,1,6F,
86,4,14,8249_4,6024_5,L2 x L1,L2.4 x L1.5,2,1,6G,
1,1,1,1158_2,1158_2,H1 s1,H1.2 s1,,0,,
2,1,2,1158_2,6024_5,H1 x L1,H1.2 x L1.5,4,1,,
4,1,4,8249_4,6024_5,L2 x L1,L2.4 x L1.5,2,0,,
6,1,6,6024_5,6024_5,L1 s1,L1.5 s1,,0,,
8,1,8,8249_1,8249_1,L2 s1,L2.1 s1,,1,,
9,1,9,6184_4,1158_2,H2 x H1,H2.4 x H1.2,8,1,,
12,1,12,6024_3,6024_3,L1 s1,L1.3 s1,,0,,
14,1,14,6024_2,6024_2,L1 s1,L1.2 s1,,0,,
16,1,16,6184_2,6184_2,H2 s1,H2.2 s1,,1,,
