cross,F2_family,F2_mother,F3_family,label_colour,i,rep,plant_id,tray,sequencing_plate,order,random,coord
BLANK,,,,,1,1,.001,1,1,48,31,F1
BLANK,,,,,1,2,.002,2,1,48,22,D10
BLANK,,,,,1,3,.003,3,2,48,36,F6
BLANK,,,,,1,4,.004,4,2,48,19,D7
6024x8249,F2.05,F2.05.017,F3.01,blue,1,1,F3.01.001,1,1,1,30,E6
6024x8249,F2.05,F2.05.017,F3.01,blue,1,2,F3.01.002,2,1,1,29,E11
6024x8249,F2.05,F2.05.017,F3.01,blue,1,3,F3.01.003,3,2,1,38,G2
6024x8249,F2.05,F2.05.017,F3.01,blue,1,4,F3.01.004,4,2,1,14,C8
6024x8249,F2.05,F2.05.020,F3.02,blue,2,1,F3.02.001,1,1,2,46,H4
6024x8249,F2.05,F2.05.020,F3.02,blue,2,2,F3.02.002,2,1,2,43,H7
6024x8249,F2.05,F2.05.020,F3.02,blue,2,3,F3.02.003,3,2,2,8,B2
6024x8249,F2.05,F2.05.020,F3.02,blue,2,4,F3.02.004,4,2,2,4,A10
6024x8249,F2.05,F2.05.026,F3.03,blue,3,1,F3.03.001,1,1,3,9,B3
6024x8249,F2.05,F2.05.026,F3.03,blue,3,2,F3.03.002,2,1,3,25,E7
6024x8249,F2.05,F2.05.026,F3.03,blue,3,3,F3.03.003,3,2,3,41,G5
6024x8249,F2.05,F2.05.026,F3.03,blue,3,4,F3.03.004,4,2,3,32,F8
6024x8249,F2.05,F2.05.022,F3.04,blue,4,1,F3.04.001,1,1,4,22,D4
6024x8249,F2.05,F2.05.022,F3.04,blue,4,2,F3.04.002,2,1,4,9,B9
6024x8249,F2.05,F2.05.022,F3.04,blue,4,3,F3.04.003,3,2,4,31,F1
6024x8249,F2.05,F2.05.022,F3.04,blue,4,4,F3.04.004,4,2,4,39,G9
6024x8249,F2.05,F2.05.015,F3.05,blue,5,1,F3.05.001,1,1,5,32,F2
6024x8249,F2.05,F2.05.015,F3.05,blue,5,2,F3.05.002,2,1,5,5,A11
6024x8249,F2.05,F2.05.015,F3.05,blue,5,3,F3.05.003,3,2,5,18,C6
6024x8249,F2.05,F2.05.015,F3.05,blue,5,4,F3.05.004,4,2,5,31,F7
1158x6024,F2.16,F2.16.014,F3.11,green,1,1,F3.11.001,1,1,6,38,G2
1158x6024,F2.16,F2.16.014,F3.11,green,1,2,F3.11.002,2,1,6,20,D8
1158x6024,F2.16,F2.16.014,F3.11,green,1,3,F3.11.003,3,2,6,16,C4
1158x6024,F2.16,F2.16.014,F3.11,green,1,4,F3.11.004,4,2,6,17,C11
1158x6024,F2.16,F2.16.016,F3.12,green,2,1,F3.12.001,1,1,7,16,C4
1158x6024,F2.16,F2.16.016,F3.12,green,2,2,F3.12.002,2,1,7,41,G11
1158x6024,F2.16,F2.16.016,F3.12,green,2,3,F3.12.003,3,2,7,17,C5
1158x6024,F2.16,F2.16.016,F3.12,green,2,4,F3.12.004,4,2,7,23,D11
1158x6024,F2.16,F2.16.022,F3.13,green,3,1,F3.13.001,1,1,8,27,E3
1158x6024,F2.16,F2.16.022,F3.13,green,3,2,F3.13.002,2,1,8,35,F11
1158x6024,F2.16,F2.16.022,F3.13,green,3,3,F3.13.003,3,2,8,22,D4
1158x6024,F2.16,F2.16.022,F3.13,green,3,4,F3.13.004,4,2,8,35,F11
1158x6024,F2.16,F2.16.019,F3.14,green,4,1,F3.14.001,1,1,9,41,G5
1158x6024,F2.16,F2.16.019,F3.14,green,4,2,F3.14.002,2,1,9,10,B10
1158x6024,F2.16,F2.16.019,F3.14,green,4,3,F3.14.003,3,2,9,29,E5
1158x6024,F2.16,F2.16.019,F3.14,green,4,4,F3.14.004,4,2,9,3,A9
1158x6024,F2.16,F2.16.017,F3.15,green,5,1,F3.15.001,1,1,10,20,D2
1158x6024,F2.16,F2.16.017,F3.15,green,5,2,F3.15.002,2,1,10,12,B12
1158x6024,F2.16,F2.16.017,F3.15,green,5,3,F3.15.003,3,2,10,21,D3
1158x6024,F2.16,F2.16.017,F3.15,green,5,4,F3.15.004,4,2,10,15,C9
1158x6184,F2.03,F2.03.020,F3.16,orange,1,1,F3.16.001,1,1,11,12,B6
1158x6184,F2.03,F2.03.020,F3.16,orange,1,2,F3.16.002,2,1,11,44,H8
1158x6184,F2.03,F2.03.020,F3.16,orange,1,3,F3.16.003,3,2,11,6,A6
1158x6184,F2.03,F2.03.020,F3.16,orange,1,4,F3.16.004,4,2,11,25,E7
1158x6184,F2.03,F2.03.025,F3.17,orange,2,1,F3.17.001,1,1,12,40,G4
1158x6184,F2.03,F2.03.025,F3.17,orange,2,2,F3.17.002,2,1,12,1,A7
1158x6184,F2.03,F2.03.025,F3.17,orange,2,3,F3.17.003,3,2,12,4,A4
