plate,row,col,plantID
2021-007,A,1,H1.2xH2.1-1
2021-007,B,1,H1.2xH2.1-2
2021-007,C,1,H1.2xH2.1-3
2021-007,D,1,H1.2xH2.1-4
2021-007,E,1,H1.2xH2.1-5
2021-007,F,1,H1.2xL1.5-3
2021-007,G,1,H2.1_s1-4
2021-007,H,1,H2.1_s1-1
2021-007,A,2,H2.1_s1-3
2021-007,B,2,H2.2_s1-4
2021-007,C,2,H2.2_s1-6
2021-007,D,2,H2.2_s1-2
2021-007,E,2,H2.2xL2.1-1
2021-007,F,2,H2.2xL2.1-2
2021-007,G,2,H2.2xL2.1-3
2021-007,H,2,H2.2xL2.1-4
2021-007,A,3,H2.2xL2.1-5
2021-007,B,3,H2.2xL2.1-6
2021-007,C,3,H2.4xH1.2-2
2021-007,D,3,L1.2_s1-2
2021-007,E,3,L1.2_s1-4
2021-007,F,3,L1.2_s1-5
2021-007,G,3,L1.2xH1.2-1
2021-007,H,3,L1.3xL2.4-1
2021-007,A,4,L1.3xL2.4-2
2021-007,B,4,L1.3xL2.4-4
2021-007,C,4,L1.3xL2.4-3
2021-007,D,4,L1.3xL2.4-5
2021-007,E,4,L1.3xL2.4-6
2021-007,F,4,L1.5_s1-4
2021-007,G,4,L2.1_s1-3
2021-007,H,4,L2.1_s1-5
2021-007,A,5,L2.1_s1-6
2021-007,B,5,L2.4_s1-1
2021-007,C,5,L2.4_s1-2
2021-007,D,5,L2.4_s1-3
2021-007,E,5,L2.4xH2.1-1
2021-007,F,5,L2.4xH2.1-2
2021-007,G,5,L2.4xH2.1-3
2021-007,H,5,L2.4xH2.1-4
2021-007,A,6,L2.4xH2.1-5
2021-007,B,6,L2.4xH2.1-6
2021-007,C,6,L2.4xL1.5-2
2021-007,D,6,L2.4xL1.5-3
2021-007,E,6,L2.4xL1.5-4
2021-007,F,6,L2.4xL1.5-5
2021-007,G,6,L2.4xL1.5-6
2021-007,H,6,6184_1
2021-007,A,7,6024_3
2021-007,B,7,8249_4
2021-007,C,7,6024_5
2021-007,D,7,6024_2
2021-007,E,7,6184_2
2021-007,F,7,1158_2
2021-007,G,7,6184_2
2021-007,H,7,8249_1
2021-007,A,8,8249_1b
2021-007,B,8,8249_2b
2021-007,C,8,8249_3b
2021-007,D,8,8249_4b
2021-007,E,8,8249_5b
2021-007,F,8,6184_1b
2021-007,G,8,6184_2b
2021-007,H,8,6184_3b
2021-007,A,9,6184_4b
2021-007,B,9,6184_5b
2021-007,C,9,1158_1b
2021-007,D,9,1158_5b
2021-007,E,9,1158_3b
2021-007,F,9,1158_6b
2021-007,G,9,1158_8b
2021-007,H,9,6024_1b
2021-007,A,10,6024_2b
2021-007,B,10,6024_3b
2021-007,C,10,6024_4b
2021-007,D,10,6184_4
2021-007,E,10,F1.25.07
2021-007,F,10,F1.24.03
2021-007,G,10,F1.29.02
2021-007,H,10,S1.07.03
2021-007,A,11,F1.28.02
2021-007,B,11,F1.15.03
2021-007,C,11,F1.23.01
2021-007,D,11,F1.11.02
2021-007,E,11,F1.12.01
2021-007,F,11,F1.20.03
2021-007,G,11,S1.09.04
2021-007,H,11,S1.12.03
2021-007,A,12,S1.01.02
2021-007,B,12,S1.14.01
2021-007,C,12,S1.05.02
2021-007,D,12,S1.04.02
2021-007,E,12,S1.07.03
2021-007,F,12,F1.29.03
2021-007,G,12,F1.25.05
2021-007,H,12,F1.26.03
2022-005,A,1,F3.22.001
2022-005,B,1,F3.19.001
2022-005,C,1,S3.02.001
2022-005,D,1,F3.36.001
2022-005,E,1,S2.38.001
2022-005,F,1,Col0_2022-005_F1
2022-005,G,1,F3.37.001
2022-005,H,1,F3.38.001
2022-005,A,2,S3.07.001
2022-005,B,2,F3.35.001
2022-005,C,2,F3.29.001
2022-005,D,2,F3.15.001
2022-005,E,2,F3.40.001
2022-005,F,2,F3.05.001
2022-005,G,2,F3.11.001
2022-005,H,2,S3.03.001
2022-005,A,3,S3.08.001
2022-005,B,3,F3.03.001
2022-005,C,3,S2.37.001
2022-005,D,3,F3.31.001
2022-005,E,3,F3.13.001
2022-005,F,3,F3.39.001
2022-005,G,3,S3.05.001
2022-005,H,3,F3.30.001
2022-005,A,4,F3.33.001
