plantID,mother,father,type,generation,crossID,ancestors
1158_1b,2017 batch,2017 batch,parent,0,1158,1158_1b
1158_2,2017 batch,2017 batch,parent,0,1158,1158_2
1158_3b,2017 batch,2017 batch,parent,0,1158,1158_3b
1158_5b,2017 batch,2017 batch,parent,0,1158,1158_5b
1158_6b,2017 batch,2017 batch,parent,0,1158,1158_6b
1158_8b,2017 batch,2017 batch,parent,0,1158,1158_8b
6024_1b,2017 batch,2017 batch,parent,0,6024,6024_1b
6024_2,2017 batch,2017 batch,parent,0,6024,6024_2
6024_2b,2017 batch,2017 batch,parent,0,6024,6024_2b
6024_3,2017 batch,2017 batch,parent,0,6024,6024_3
6024_3b,2017 batch,2017 batch,parent,0,6024,6024_3b
6024_4b,2017 batch,2017 batch,parent,0,6024,6024_4b
6024_5,2017 batch,2017 batch,parent,0,6024,6024_5
6184_1,2017 batch,2017 batch,parent,0,6184,6184_1
6184_1b,2017 batch,2017 batch,parent,0,6184,6184_1b
6184_2,2017 batch,2017 batch,parent,0,6184,6184_2
6184_4,2017 batch,2017 batch,parent,0,6184,6184_4
6184_2b,2017 batch,2017 batch,parent,0,6184,6184_2b
6184_3b,2017 batch,2017 batch,parent,0,6184,6184_3b
6184_4b,2017 batch,2017 batch,parent,0,6184,6184_4b
6184_5b,2017 batch,2017 batch,parent,0,6184,6184_5b
8249_1,2017 batch,2017 batch,parent,0,8249,8249_1
8249_1b,2017 batch,2017 batch,parent,0,8249,8249_1b
8249_2b,2017 batch,2017 batch,parent,0,8249,8249_2b
8249_3b,2017 batch,2017 batch,parent,0,8249,8249_3b
8249_4,2017 batch,2017 batch,parent,0,8249,8249_4
8249_4b,2017 batch,2017 batch,parent,0,8249,8249_4b
8249_5b,2017 batch,2017 batch,parent,0,8249,8249_5b
F1.11.02,1158_5b,8249_5b,F1,1,1158x8249,1158_5b;8249_5b;F1.11.02
F1.11.03,1158_5b,8249_5b,F1,1,1158x8249,1158_5b;8249_5b;F1.11.03
F1.12.01,8249_3b,1158_3b,F1,1,8249x1158,1158_3b;8249_3b;F1.12.01
F1.15.02,6184_3b,8249_1b,F1,1,6184x8249,6184_3b;8249_1b;F1.15.02
F1.15.03,6184_3b,8249_1b,F1,1,6184x8249,6184_3b;8249_1b;F1.15.03
F1.20.02,6184_2b,6024_1b,F1,1,6184x6024,6024_1b;6184_2b;F1.20.02
F1.20.03,6184_2b,6024_1b,F1,1,6184x6024,6024_1b;6184_2b;F1.20.03
F1.23.01,6024_3b,8249_5b,F1,1,6024x8249,6024_3b;8249_5b;F1.23.01
F1.24.02,8249_1b,6024_1b,F1,1,8249x6024,6024_1b;8249_1b;F1.24.02
F1.24.03,8249_1b,6024_1b,F1,1,8249x6024,6024_1b;8249_1b;F1.24.03
F1.25.01,6024_4b,1158_3b,F1,1,6024x1158,1158_3b;6024_4b;F1.25.01
F1.25.02,6024_4b,1158_3b,F1,1,6024x1158,1158_3b;6024_4b;F1.25.02
F1.25.03,6024_4b,1158_3b,F1,1,6024x1158,1158_3b;6024_4b;F1.25.03
F1.25.04,6024_4b,1158_3b,F1,1,6024x1158,1158_3b;6024_4b;F1.25.04
F1.25.05,6024_4b,1158_3b,F1,1,6024x1158,1158_3b;6024_4b;F1.25.05
F1.25.07,6024_4b,1158_3b,F1,1,6024x1158,1158_3b;6024_4b;F1.25.07
F1.25.08,6024_4b,1158_3b,F1,1,6024x1158,1158_3b;6024_4b;F1.25.08
F1.25.09,6024_4b,1158_3b,F1,1,6024x1158,1158_3b;6024_4b;F1.25.09
F1.26.01,1158_6b,6024_1b,F1,1,1158x6024,1158_6b;6024_1b;F1.26.01
F1.26.02,1158_6b,6024_1b,F1,1,1158x6024,1158_6b;6024_1b;F1.26.02
F1.26.03,1158_6b,6024_1b,F1,1,1158x6024,1158_6b;6024_1b;F1.26.03
F1.26.04,1158_6b,6024_1b,F1,1,1158x6024,1158_6b;6024_1b;F1.26.04
F1.26.05,1158_6b,6024_1b,F1,1,1158x6024,1158_6b;6024_1b;F1.26.05
F1.28.02,8249_2b,6184_1b,F1,1,8249x6184,6184_1b;8249_2b;F1.28.02
F1.28.03,8249_2b,6184_1b,F1,1,8249x6184,6184_1b;8249_2b;F1.28.03
F1.29.02,1158_8b,6184_1b,F1,1,1158x6184,1158_8b;6184_1b;F1.29.02
F1.29.03,1158_8b,6184_1b,F1,1,1158x6184,1158_8b;6184_1b;F1.29.03
H1.2_s1-1,1158_2,1158_2,S1,1,1158,1158_2;H1.2_s1-1
H1.2_s1-2,1158_2,1158_2,S1,1,1158,1158_2;H1.2_s1-2
H1.2_s1-3,1158_2,1158_2,S1,1,1158,1158_2;H1.2_s1-3
H1.2_s1-4,1158_2,1158_2,S1,1,1158,1158_2;H1.2_s1-4
H1.2_s1-5,1158_2,1158_2,S1,1,1158,1158_2;H1.2_s1-5
H1.2_s1-6,1158_2,1158_2,S1,1,1158,1158_2;H1.2_s1-6
H1.2xH2.1-1,1158_2,6184_1,F1,1,1158x6184,1158_2;6184_1;H1.2xH2.1-1
H1.2xH2.1-2,1158_2,6184_1,F1,1,1158x6184,1158_2;6184_1;H1.2xH2.1-2
H1.2xH2.1-3,1158_2,6184_1,F1,1,1158x6184,1158_2;6184_1;H1.2xH2.1-3
H1.2xH2.1-4,1158_2,6184_1,F1,1,1158x6184,1158_2;6184_1;H1.2xH2.1-4
